id,country,gender,engfirst,degcom,major,curstudy,stdtype,datbefore,numfeed,feedpost,learnrev,feedfrmuse,satpeer1,incofeed1,feed1feel,satpeer2,incofeed2,feed2feel,challenge,like,incinterest,thcritic
50,UK,Male,Yes,Bachelors,Medicine,Introduction to Biostatistics only,Domestic full time,No,1,Yes,Yes,No,1,No,None of the above,2,Yes,None of the above,Finding data set;Why waste time searching for meaningless data to analyse? This was of no use what so ever. When would we ever do this in real life? Had we been given data we may have also had some meaningful results in the analysis which may have aided learning. The video presentation was ridiculous. Why on earth would the quality of the video be graded in assessing our understanding of biostats. And the need to mention whether feedback was incorporated or not. Hopefully the sentence ‘the feedback was incorporated’ will get me full marks for that section. ,"Nothing, it was honestly terrible. Without a doubt the worst course I have ever had the misfortune of spending five thousand dollars and wasting days of my life on",no,No
51,Peru,Male,No,Graduate Certificate,Public health_health service,MPH,International full time,No,2,Yes,Yes,Yes,2,No,None of the above,2,No,None of the above,Video presentation;Explaining the content to lay audiences,Finding data set;Weekly tasks (part of assessment),"Yes, because I got the chance to apply recently acquire knowledge to an actual problem / data set",Yes
52,zimbabwe,Female,No,Bachelors,Biology,MPH,Domestic full time,No,2,Yes,Yes,Yes,4,Yes,Ashamed;Motivated,4,Yes,Ashamed;Motivated,Finding data set;Weekly tasks (part of assessment);Video presentation;Explaining the content to lay audiences,Peer reviewing;Incorporating feedback,terrified me instead,Yes
53,Romania,Female,No,Bachelors,Biochemistry_Psychology,MPH,Domestic part-time,No,2,Yes,Yes,Yes,2,Yes,None of the above,1,No,None of the above,Video presentation;Explaining the content to lay audiences,Video presentation;Explaining the content to lay audiences,yes,Yes
54,United Kingdom,Female,Yes,Masters,Medicine,intro to biostats and intro to epidemiology ,Domestic part-time,Yes,1,Yes,Yes,Yes,4,Yes,None of the above,4,Yes,None of the above,Finding data set;Weekly tasks (part of assessment);Video presentation,Peer reviewing,I think that it was useful to apply the skills learned in the course each week to some actual data and create graphs and draw conclusions.,Yes
55,USA,Female,Yes,Bachelors,Biochemistry,MPH,International full time,No,2,Yes,No,No,3,No,Happy,3,No,Happy,Finding data set;Incorporating feedback;Weekly tasks (part of assessment);Video presentation,Weekly tasks (part of assessment);Explaining the content to lay audiences,No; ,No
56,Australia,Female,Yes,Bachelors,psychology_accountancy,MPH,Domestic part-time,No,2,Yes,Yes,Yes,5,Yes,Happy;Motivated,5,Yes,Happy;Motivated,Finding data set;Video presentation;Explaining the content to lay audiences,Peer reviewing;Weekly tasks (part of assessment),Yes ,Yes
57,Australia,Male,Yes,Bachelors,Medicine,MPhil,Domestic full time,No,2,Yes,Yes,Yes,3,Yes,None of the above,4,Yes,None of the above,Video presentation,Incorporating feedback;Weekly tasks (part of assessment),Yes,Yes
58,Australia,Male,Yes,Bachelors,Exercise Physiology,MPH,Domestic full time,No,2,Yes,Yes,Yes,5,Yes,Motivated,4,Yes,Motivated,"Finding data set;found it particularly difficult to incorporate vague direction given into appropriate actions. I.e I struggled with the things taught in tuts to apply to my data and often wasted alot of time on things that werent neccessary, guessing and checking and felt there are more efficient learning methods.",Incorporating feedback,No,Yes
59,Australia,Male,Yes,Bachelors,Medicine,Introduction to Biostatistics only,Domestic part-time,No,2,Yes,No,Yes,3,Yes,None of the above,3,Yes,None of the above,"Weekly tasks (part of assessment);Using R commander, understanding what was actually required of assessment",Weekly tasks (part of assessment),No ,Yes
60,Egypt,Female,Yes,Bachelors,Medicine,Introduction to Biostatistics only,Domestic part-time,No,2,Yes,Yes,Yes,4,Yes,None of the above,5,Yes,Motivated,Peer reviewing;Video presentation;Explaining the content to lay audiences,Weekly tasks (part of assessment),help understand the basic steps involved in analysing data,Yes
61,Australia,Female,Yes,Bachelors,Biomedical science ,MPH,Domestic full time,No,2,Yes,Yes,Yes,4,Yes,None of the above,4,Yes,None of the above,Finding data set;Peer reviewing;Incorporating feedback;Weekly tasks (part of assessment);Video presentation;Explaining the content to lay audiences,Peer reviewing,"No, found it overwhelming and very challenging ",No
62,Kiribati,Female,Yes,Bachelors,Public health_health service,MPH,International full time,No,1,Yes,Yes,Yes,4,Yes,Motivated,5,Yes,Motivated,Explaining the content to lay audiences,Finding data set;Peer reviewing;Incorporating feedback;Weekly tasks (part of assessment);Video presentation,"yes, was helpful to understand and use each module",Yes
63,Australia,Female,Yes,Bachelors,Medicine,Introduction to Biostatistics only,Domestic full time,No,2,Yes,Yes,Yes,3,Yes,Motivated,5,Yes,Motivated,"Weekly tasks (part of assessment);R commander is a terrible, fiddly program, and help is difficult to come by- answers to questions on discussion board are so vague",I did not enjoy this assignment,No,No
64,Australia,Female,Yes,Bachelors,Public health_health service,MPH,Domestic full time,No,2,Yes,No,Yes,3,Yes,Discouraged;Motivated,5,Yes,Happy;Ashamed,Finding data set;Video presentation;Explaining the content to lay audiences,Peer reviewing,no,No
65,Hong Kong,Male,Yes,Bachelors,Biomedical Science,MEpi,Domestic full time,No,1,Yes,Yes,Yes,5,Yes,Happy;Motivated,5,Yes,Happy;Motivated,Finding data set;Video presentation,Peer reviewing;Incorporating feedback,"Yes, was interesting analysing different concepts with a data set you have found",Yes
66,China,Female,No,Bachelors,Medicine,MPH,Domestic part-time,No,2,Yes,No,Yes,1,No,None of the above,2,No,Discouraged,Finding data set;Incorporating feedback;Video presentation;Explaining the content to lay audiences,Weekly tasks (part of assessment),Was interesting to analyse a data set. ,Yes
67,Russia,Female,No,Bachelors,Medicine,Introduction to Biostatistics only,Domestic part-time,No,2,Yes,No,Yes,1,No,None of the above,4,Yes,None of the above,Finding data set;Video presentation;Cramming in all the information I learned into 4 minutes,Weekly tasks (part of assessment),"No, but makes me confident about approaching a dataset for my own research / work",Yes
68,USA,Female,Yes,Bachelors,Public health_health service,MPH,International full time,No,2,Yes,Yes,Yes,4,Yes,Motivated,4,Yes,Motivated,Finding data set,Video presentation,Absolutely not. But it made me more confident in this field. ,Yes
69,England,Female,Yes,Completed BSc in 1997,Biology,PhD,Domestic full time,No,2,Yes,Yes,Yes,2,Yes,Happy,2,Yes,Happy,Incorporating feedback;Explaining the content to lay audiences;The feedback I recieved was on written format only - would have liked feedback on statistical techniques and interpretation,Finding data set;Peer reviewing;Weekly tasks (part of assessment);Video presentation,yes,Yes
